sn	funcName	clientName	clientDesc
60179	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60180	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60181	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60182	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60183	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60184	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60185	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60186	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60187	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60188	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60189	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60190	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60201	Talk to Komatsu	Talk to Komatsu	I could go see Komatsu...
60401	Talk to Tanzo	Talk to Tanzo	I could go see Tanzo...
60501	Talk to Sato	Talk to Sato	I could go see Sato...
60502	Talk to Sato	Talk to Sato	I could go see Sato...
60801	Talk to Koide	Talk to Koide	I could go see Koide...
60802	Talk to Koide	Talk to Koide	I could go see Koide...
60901	Talk to Ayaka	Listen to Ayaka's song	I should go listen to Ayaka's new song...
60902	Talk to Ayaka	Listen to Ayaka's song	I should go listen to Ayaka's new song...
60903	Talk to Ayaka	Listen to Ayaka's song	I should go listen to Ayaka's new song...
61001	See the orange tabby	Tabby's Treasure Hunt	Go meet the orange tabby
61401	Talk to Tosabayashi	Talk to Tosabayashi	I could go see Tosabayashi...
61402	Talk to Tosabayashi	Talk to Tosabayashi	I could go see Tosabayashi...
60202	Talk to Komatsu	Talk to Komatsu	I could go see Komatsu...
60203	Talk to Komatsu	Talk to Komatsu	I could go see Komatsu...
61403	Talk to Tosabayashi	Talk to Tosabayashi	I could go see Tosabayashi...
61501	Talk to Tsuda	Talk to Tsuda	I could go see Tsuda...
61502	Talk to Tsuda	Talk to Tsuda	I could go see Tsuda...
61503	Talk to Tsuda	Talk to Tsuda	I could go see Tsuda...
61504	Talk to Tsuda	Talk to Tsuda	I could go see Tsuda...
61701	Talk to Shichi-kun	Talk to Shichi-kun	I should hear what Shichi-kun has to say...
61801	Talk to Shishida	Talk to Shishida	I could go see Shishida...
61901	Talk to Anderson	Talk to Anderson	I should hear what Anderson has to say...
61902	Talk to Anderson	Talk to Anderson	I should hear what Anderson has to say...
61903	Talk to Anderson	Talk to Anderson	I should hear what Anderson has to say...
62001	Spend time with Shimizu 	Camerawork with Rikuto Shimizu	Help Shimizu with his photography
65001	Talk to Minami	Study with Minami	Help Minami with studying
65002	Talk to Haruna	Explore with Haruna	I could go exploring with Haruna...
65003	Talk to Minami	Shop with Minami	Help Minami with shopping
65004	Talk to Minami	Study with Minami	Help Minami with studying
65005	Talk to Haruna	Explore with Haruna	I could go exploring with Haruna...
65006	Talk to Haruna	Study with Haruna	I could meet up with Haruna to study...
65101	Talk to Minami	Study with Minami	Help Minami with studying
65102	Talk to Haruna	Explore with Haruna	I could go exploring with Haruna...
61802	Talk to Shishida	Talk to Shishida	I could go see Shishida...
65103	Talk to Minami	Shop with Minami	Help Minami with shopping
65104	Talk to Minami	Study with Minami	Help Minami with studying
65105	Talk to Haruna	Explore with Haruna	I could go exploring with Haruna...
65106	Talk to Haruna	Study with Haruna	I could meet up with Haruna to study...
70000	Error: tnxotb-[OWEvent_funcName_70000]	PT Job AllowedTL-Talk at the school gate	This is an explanation about [PT Job AllowedTL-Talk at the school gate]
70101	Error: tnxotb-[OWEvent_funcName_70101]	PT Job AllowedTL-Talk at the school gate	This is an explanation about [PT Job AllowedTL-Talk at the school gate]
70201	Error: tnxotb-[OWEvent_funcName_70201]	Reminder to Study/ReadTL-Talk at the school gate	This is an explanation about [Reading/Studying ReminderTL-Talk at the school gate]
70301	City Event Test 3	Sports Gym Unlocked TL - Watch TV at home on your day off	This is an explanation about "Sports Gym Unlocked TL - Watch TV at home on your day off."
70401	City Event Test 4	Cleaning Allowed-Relax at home on non-schoolday	This is an explanation about [Cleaning Allowed-Relax at home on non-schoolday]
70501	City Event Test 5	Tabby Cat Side Mission AllowedTL-Talk during school commute	This is an explanation about [Orange Tabby Side Mission AllowedTL-Talk during school commute]
70601	City Event Test 6	Movie AllowedTL-Talk on the train	This is an explanation about [Movie AllowedTL-Talk on the train]
70701	City Event Test 7	Other Side Mission NPC Allowed-Talk during school commute	This is an explanation about [Other Side Missions NPC Allowed-Talk during school commute]
70801	City Event Test 8	Video Games Allowed-Talk at the school gate	This is an explanation about [Video Games Allowed-Talk at school gate]
70901	City Event Test 9	PT Job at Bookstore/Drugstore Allowed-Talk during school commute	This is an explanation about [PT Job at Bookstore/Drugstore Allowed-Talk during school commute]
71001	City Event Test 10	AAAAAA==	AAAAAA==
71101	City Event Test 11	AAAAAA==	AAAAAA==
71201	City Event Test 12	AAAAAA==	AAAAAA==
71301	City Event Test 13	AAAAAA==	AAAAAA==
71401	City Event Test 14	AAAAAA==	AAAAAA==
71501	City Event Test 15	AAAAAA==	AAAAAA==
80101	Work at the flower shop	Work at the flower shop	The flower shop in the Shibuya underground mall seems to need some help...
80201	Study at the café	Study at the café	I could study at the café...
80301	Work at the flower shop	Work at the flower shop	The flower shop in the Shibuya underground mall seems to need some help...
80401	Go to the gym	Go to the gym	I could do some training at the gym...
80501	Clean	Clean the house	I should clean my room...
80601	Work at the beef bowl shop	Work at the beef bowl shop	The beef bowl restaurant in Shibuya is hiring part-time help. Maybe I should check it out...
90101	Talk to Chihaya	Chihaya's Fortune-Telling	Seems like there's a mysterious fortune-teller in Shinjuku. I could see what's in the cards today...
99999	Guaranteed Event	Guaranteed Event	If this bubble appears	 it means there is a configuration error.
100101	Go to band club	Band Club Practice	I could go to band practice...
100102	Go to band club	Band Club Practice	I could go to band practice...
100103	Go to band club	Band Club Practice	I could go to band practice...
100104	Go to band club	Band Club Practice	I could go to band practice...
100105	Go to band club	Band Club Practice	I could go to band practice...
100201	Go to soccer practice	Soccer Team Practice	I could go to soccer practice...
100202	Go to soccer practice	Soccer Team Practice	I could go to soccer practice...
100203	Go to soccer practice	Soccer Team Practice	I could go to soccer practice...
100204	Go to soccer practice	Soccer Team Practice	I could go to soccer practice...
100205	Go to soccer practice	Soccer Team Practice	I could go to soccer practice...
