sn	name	typeName	tips	contentBG
213103	Starrynight Soothsayer	Dancing Cane	Yumi-only melee weapon.	<color=#ffffff>  </color>
213104	Moonlit Feather	Dancing Cane	Yumi-only melee weapon.	<color=#ffffff>  </color>
213201	Guitar Axe	Guitar Axe	Ayaka-only melee weapon.	<color=#ffffff>  </color>
213202	Amped-Up Guitar Axe	Guitar Axe	Ayaka-only melee weapon.	<color=#ffffff>  </color>
213203	Rock 'n' Roller	Guitar Axe	Ayaka-only melee weapon.	<color=#ffffff>  </color>
213204	Superstar	Guitar Axe	Ayaka-only melee weapon.	<color=#ffffff>  </color>
213301	AAAAAA==	AAAAAA==	Ashiya-only melee weapon.	<color=#ffffff>  </color>
213302	AAAAAA==	AAAAAA==	Ashiya-only melee weapon.	<color=#ffffff>  </color>
213303	AAAAAA==	AAAAAA==	Ashiya-only melee weapon.	<color=#ffffff>  </color>
213304	AAAAAA==	AAAAAA==	Ashiya-only melee weapon.	<color=#ffffff>  </color>
213401	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213402	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213403	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213404	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213501	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213502	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213503	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213504	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213601	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213602	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213603	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
213604	AAAAAA==	AAAAAA==	AAAAAA==	AAAAAA==
220121	Futility: Sun	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220122	Futility: Moon	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220123	Futility: Star	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220124	Futility: Sky	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220131	Futility: Sun	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220132	Futility: Moon	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220133	Futility: Star	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220134	Futility: Sky	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220141	Futility: Sun	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220142	Futility: Moon	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220143	Futility: Star	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220144	Futility: Sky	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220151	Futility: Sun	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220152	Futility: Moon	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220153	Futility: Star	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220154	Futility: Sky	Revelation	A Revelation Card symbolizing futility. Equipping it grants various effects.	<color=#ffffff>  </color>
220221	Love: Sun	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220222	Love: Moon	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220223	Love: Star	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220224	Love: Sky	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220231	Love: Sun	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220232	Love: Moon	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220233	Love: Star	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220234	Love: Sky	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220241	Love: Sun	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220242	Love: Moon	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220243	Love: Star	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220244	Love: Sky	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220251	Love: Sun	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220252	Love: Moon	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220253	Love: Star	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220254	Love: Sky	Revelation	A Revelation Card symbolizing love. Equipping it grants various effects.	<color=#ffffff>  </color>
220321	Oppression: Sun	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220322	Oppression: Moon	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220323	Oppression: Star	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220324	Oppression: Sky	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220331	Oppression: Sun	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220332	Oppression: Moon	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220333	Oppression: Star	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220334	Oppression: Sky	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220341	Oppression: Sun	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220342	Oppression: Moon	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220343	Oppression: Star	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220344	Oppression: Sky	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220351	Oppression: Sun	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220352	Oppression: Moon	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220353	Oppression: Star	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220354	Oppression: Sky	Revelation	A Revelation Card symbolizing oppression. Equipping it grants various effects.	<color=#ffffff>  </color>
220421	Valor: Sun	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220422	Valor: Moon	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220423	Valor: Star	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220424	Valor: Sky	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220431	Valor: Sun	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220432	Valor: Moon	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220433	Valor: Star	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220434	Valor: Sky	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220441	Valor: Sun	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220442	Valor: Moon	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220443	Valor: Star	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220444	Valor: Sky	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220451	Valor: Sun	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220452	Valor: Moon	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220453	Valor: Star	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220454	Valor: Sky	Revelation	A Revelation Card symbolizing valor. Equipping it grants various effects.	<color=#ffffff>  </color>
220521	Works: Sun	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220522	Works: Moon	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220523	Works: Star	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220524	Works: Sky	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220531	Works: Sun	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220532	Works: Moon	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220533	Works: Star	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220534	Works: Sky	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220541	Works: Sun	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220542	Works: Moon	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220543	Works: Star	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220544	Works: Sky	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220551	Works: Sun	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220552	Works: Moon	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220553	Works: Star	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220554	Works: Sky	Revelation	A Revelation Card symbolizing works. Equipping it grants various effects.	<color=#ffffff>  </color>
220621	Dominion: Sun	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220622	Dominion: Moon	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220623	Dominion: Star	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220624	Dominion: Sky	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220631	Dominion: Sun	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220632	Dominion: Moon	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220633	Dominion: Star	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220634	Dominion: Sky	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220641	Dominion: Sun	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220642	Dominion: Moon	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220643	Dominion: Star	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220644	Dominion: Sky	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220651	Dominion: Sun	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220652	Dominion: Moon	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220653	Dominion: Star	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220654	Dominion: Sky	Revelation	A Revelation Card symbolizing dominion. Equipping it grants various effects.	<color=#ffffff>  </color>
220721	Sorrow: Sun	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220722	Sorrow: Moon	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220723	Sorrow: Star	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220724	Sorrow: Sky	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220731	Sorrow: Sun	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220732	Sorrow: Moon	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220733	Sorrow: Star	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220734	Sorrow: Sky	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220741	Sorrow: Sun	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220742	Sorrow: Moon	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220743	Sorrow: Star	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220744	Sorrow: Sky	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220751	Sorrow: Sun	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220752	Sorrow: Moon	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220753	Sorrow: Star	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220754	Sorrow: Sky	Revelation	A Revelation Card symbolizing sorrow. Equipping it grants various effects.	<color=#ffffff>  </color>
220821	Strife: Sun	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220822	Strife: Moon	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220823	Strife: Star	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220824	Strife: Sky	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220831	Strife: Sun	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220832	Strife: Moon	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220833	Strife: Star	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220834	Strife: Sky	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220841	Strife: Sun	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220842	Strife: Moon	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220843	Strife: Star	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220844	Strife: Sky	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220851	Strife: Sun	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220852	Strife: Moon	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220853	Strife: Star	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220854	Strife: Sky	Revelation	A Revelation Card symbolizing strife. Equipping it grants various effects.	<color=#ffffff>  </color>
220921	Completion: Sun	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220922	Completion: Moon	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220923	Completion: Star	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220924	Completion: Sky	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220931	Completion: Sun	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220932	Completion: Moon	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220933	Completion: Star	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220934	Completion: Sky	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220941	Completion: Sun	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220942	Completion: Moon	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220943	Completion: Star	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220944	Completion: Sky	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220951	Completion: Sun	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220952	Completion: Moon	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220953	Completion: Star	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
220954	Completion: Sky	Revelation	A Revelation Card symbolizing completion. Equipping it grants various effects.	<color=#ffffff>  </color>
221021	Virtue: Sun	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221022	Virtue: Moon	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221023	Virtue: Star	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221024	Virtue: Sky	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221031	Virtue: Sun	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221032	Virtue: Moon	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221033	Virtue: Star	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221034	Virtue: Sky	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221041	Virtue: Sun	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221042	Virtue: Moon	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221043	Virtue: Star	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221044	Virtue: Sky	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221051	Virtue: Sun	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221052	Virtue: Moon	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221053	Virtue: Star	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221054	Virtue: Sky	Revelation	A Revelation Card symbolizing virtue. Equipping it grants various effects.	<color=#ffffff>  </color>
221121	Reconciliation: Sun	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221122	Reconciliation: Moon	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221123	Reconciliation: Star	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221124	Reconciliation: Sky	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221131	Reconciliation: Sun	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221132	Reconciliation: Moon	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221133	Reconciliation: Star	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221134	Reconciliation: Sky	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221141	Reconciliation: Sun	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221142	Reconciliation: Moon	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221143	Reconciliation: Star	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221144	Reconciliation: Sky	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221151	Reconciliation: Sun	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221152	Reconciliation: Moon	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221153	Reconciliation: Star	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221154	Reconciliation: Sky	Revelation	A Revelation Card symbolizing reconciliation. Equipping it grants various effects.	<color=#ffffff>  </color>
221221	Peace: Sun	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221222	Peace: Moon	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221223	Peace: Star	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221224	Peace: Sky	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221231	Peace: Sun	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221232	Peace: Moon	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221233	Peace: Star	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221234	Peace: Sky	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221241	Peace: Sun	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221242	Peace: Moon	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221243	Peace: Star	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221244	Peace: Sky	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221251	Peace: Sun	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221252	Peace: Moon	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221253	Peace: Star	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221254	Peace: Sky	Revelation	A Revelation Card symbolizing peace. Equipping it grants various effects.	<color=#ffffff>  </color>
221321	Disappointment: Sun	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221322	Disappointment: Moon	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221323	Disappointment: Star	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221324	Disappointment: Sky	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221331	Disappointment: Sun	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221332	Disappointment: Moon	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221333	Disappointment: Star	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221334	Disappointment: Sky	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221341	Disappointment: Sun	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221342	Disappointment: Moon	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221343	Disappointment: Star	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221344	Disappointment: Sky	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221351	Disappointment: Sun	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221352	Disappointment: Moon	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221353	Disappointment: Star	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221354	Disappointment: Sky	Revelation	A Revelation Card symbolizing disappointment. Equipping it grants various effects.	<color=#ffffff>  </color>
221421	Luxury: Sun	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221422	Luxury: Moon	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221423	Luxury: Star	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221424	Luxury: Sky	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221431	Luxury: Sun	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221432	Luxury: Moon	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221433	Luxury: Star	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221434	Luxury: Sky	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221441	Luxury: Sun	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221442	Luxury: Moon	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221443	Luxury: Star	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221444	Luxury: Sky	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221451	Luxury: Sun	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221452	Luxury: Moon	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221453	Luxury: Star	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221454	Luxury: Sky	Revelation	A Revelation Card symbolizing luxury. Equipping it grants various effects.	<color=#ffffff>  </color>
221521	Abundance: Sun	Revelation	A Revelation Card symbolizing abundance. Equipping it grants various effects.	<color=#ffffff>  </color>
