sn	textContent
1041002	Daily Life Menu
1041003	Used in City Life activities.
<color=#FFFC40>%s</color> points can be earned every day	 up to <color=#FFFC40>%s</color> points.
1041004	Unlocked skill <color=#FFFC40>%s</color>/%s
1041005	%s collected
1041006	Total Level: <color=#FFFC40>%s</color>
1041007	%d points are restored at 8 PM UTC.
1041008	Stops showing in %d days.
1041009	Summary: 
1041010	I'm about to enter a serious relationship with %s.
1041011	<color=#FFFC40>You will not be able to change your relationship without using certain items.</color>
1041301	Clear %s %s to unlock
1041302	Rank %s reward
1041303	All skills unlocked
1041305	PROFILE
1041306	VOICE
1041307	STORY
1041309	Chinese VA: %s
1041310	Japanese VA: %s
1042001	Can be purchased at level %s.
1042002	The required mission has not been unlocked.
1042003	Please purchase %s first.
1042004	Only sold at %s.
1042005	Only sold at %s.
1042006	%s can be purchased at level %s.
1042007	%s level %s
1042008	Expiring soon
1042009	Complete the mission
%s.
1042010	Requirements Not Met
1042011	Insufficient Balance
1042012	Sold Out
1042013	Receive again in %s days
1042014	Receive again in %s h
1042015	Receive again in %s min
1042016	Resets soon
1042017	Unlocks at %s exploration progress
1042018	Unlocked after obtaining %s
1042019	...What'll it be?
1042020	...What'll it be?
1042021	...How many?
1042022	A total of %s %s have been spent. (Current: %s)
1042023	Unlocks when %s is at Lv. %s (Currently Lv. %s)
1042024	Unlocks when %s is at Rank %s
1042025	Unlocks when you have the Phantom Thief %s
1043001	Event has ended.
1043002	Event not started.
1043003	Countdown: <color=#FF423F>%s</color>s.
1043004	Event ends soon.
1043005	 (%s/%s)
1043006	Obtained an <color=#FF423F>Exchange Code</color> from the event %s. Enter it on the official site to earn rewards!
1043007	Event Ends in: 
1043008	Copy the Exchange Code and go to the redemption site.
1043009	Merchandise Exchange Code: %s
1043010	Unlocked after %s.
1043011	Unlocked after obtaining %s.
1043012	Enter the shipping info for merchandise rewards.
1043013	Do you want to trade %s x%s for %s x%s?
1043014	Select a %s★ Phantom Thief from the list.
1043015	Select a %s★ Weapon from the list.
1043016	Get the following characters from Most Wanted Contracts
1043017	Get the following Characters from Phantom Idol Contracts
1043018	You've received some merchandise rewards! Please enter your shipping information.
1043019	<color=#FFD145>Name</color>
Please enter your real name in order to confirm your identity on delivery.
<color=#FFD145>Phone Number</color>
Please enter a valid phone number.
<color=#FFD145>Delivery Address</color>
Please include your building name and room number if applicable.
If the delivery address is inaccurate	 the merchandise may not be able to be delivered.
<color=#FFD145>Notification</color>
If you participate in this event or win a prize	 please enter the requested information on the reward screen. All personal information will be stored securely. If you choose not to provide the information	 you may be unable to participate in the event or receive rewards. For more information on how personal information is handled	 please refer to "Perfect World Privacy and Security."
1043020	Log in for 7 days total to get
1043021	Remaining Today:
1043022	Today
1043023	This week
1043024	This month
1043025	Event Duration
1043026	Obtain %s
1043027	%s Reward
1043028	Collect %s to earn %s!
1043030	%s Event Ongoing!
1043031	Cleared stage %s
1043032	Combat Chip
1043033	Robot
1043034	Item Type 3
1043035	Select %s %s to go to battle.
1043036	Open (%s)
1043037	Close
1043041	Easy
1043042	Normal
1043043	Hard
1043044	Easy Cleared
1043045	Normal Cleared
1043046	Hard Cleared
1043047	Brawl Bots Details
1043048	Hazard Details
1043049	Stage Boss
1043050	Floor %d
1043051	Select <color=#FF423F>%s/%s</color> items from the list.
1043052	You will gain 3 deployment points at the end of each turn. Upon reaching 20 points	 all your points will automatically be traded for 1 Self-Destruct Bot and 1 Battle Bot. The number can increase depending on your equipment.
1043053	For each Bot equipped	 gain 1 extra Self-Destruct Bot	 and Self-Destruct Bot's Almighty damage increases by 100%.
1043054	For each Bot equipped	 +1 Combat Drone and +1 removable Data Abnormality.
1043064	Unlocks by clearing the tutorial stage and Puzzle Bots stage %s
1043065	Not Attempted
1043066	Locked
1043067	Unlocks in {0} d
1043068	Unlocks in {0} h
1043087	Unlocks in {0} d {1} h
1043088	Unlocks in {0} h {1} min
1043089	Unlocks after reaching {0}★ in the previous stage
1043090	Box
1043091	Flavor
1043092	Syrup
1043093	Décor
1043069	Unlocks in {0} min
1043071	Boost
1043084	Supplied Daily!
<color=#FFEC00>MaraThon Energy x1</color>
1043085	Supplied Daily!
<color=#FFEC00>Coffee Aid x1</color>
1043086	Total number of core items collected during the event
Show as: Collected/Total
1043072	Bonus
1043073	Select one %s★ Phantom Thief from the list.
1043074	Select one %s★ weapon from the list.
1043075	Clear Plan <sprite=0 tint=1> to obtain
1043076	Clear Plan <sprite=1 tint=1> to obtain
1043077	Clear Plan <sprite=2 tint=1> to obtain
1043078	Clear Plan <sprite=3 tint=1> to obtain
1043079	a novice 5★ Thief of your choice!
1043080	a novice 5★ weapon of your choice!
1043081	a 5★ Cognitite of your choice!
1043082	a 5★ weapon of your choice!
1043083	Collect all rewards to unlock Plan III
1043094	Sell at least {0}
1043095	Have fewer than {0} customers leave
1043096	{0}/{1} (Stage ends if {2} customers leave)
1043098	Trigger {0} orders after closing
1043099	Sales
1043100	Drag Shaved Ice here to throw away
1043101	Most Sales: {0}
1043102	In Endless Mode	 sell as many as you can until you fail.
1043103	Reach {0} customer satisfaction
1044001	%s Station
1045001	Reconnecting... Countdown: %s s
1045002	Network error. Please log in again.
(Error code: 1045002)
1043097	It's recommended to play this event once you've completed {0} in the main story. Playing it before then may affect how you experience the story.
1045003	Server is currently down. Please check the announcements.
1045004	Failed to connect to network. Do you want to reconnect?
1045005	Back
1045006	Reconnect
1045007	OK
1045008	Network error. Please log in again.
(Error code: 1045008)
1045009	Failed to reconnect. Please check your connection.
1045010	Network error. Please log in again.
(Error code: 1045010)
1045011	Network error. Please log in again.
(Error code: 1045011)
1045012	Network error. Please log in again.
(Error code: 1045012)
1045013	Could not connect to server. Please check the announcements.
(Error code: 1045013)
1045014	Network error. Please log in again.
(Error code: 1045014)
1045015	Network error. Please log in again.
(Error code: 1045015)
1045016	Network error. Please log in again.
(Error code: 1045016)
1045017	Network error. Please log in again.
(Error code: 1045017)
1045018	Network error. Please log in again.
(Error code: 1045018)
1045019	Network error. Please log in again.
(Error code: 1045019)
1045020	Network error. Please log in again.
(Error code: 1045020)
1045021	Network error. Please log in again.
(Error code: 1045021)
1045022	Network error. Please log in again.
(Error code: 1045022)
1045023	Network error. Please log in again.
(Error code: 1045023)
1045024	Network error. Please log in again.
(Error code: 1045024)
1045025	Network error. Please log in again.
(Error code: 1045025)
1045026	Network error. Please log in again.
(Error code: 1045026)
1045027	Network error. Please log in again.
(Error code: 1045027)
1045028	Network error. Please log in again.
(Error code: 1045028)
1045029	Network error. Please log in again.
(Error code: 1045029)
1045030	Network error. Please log in again.
(Error code: 1045030)
1045031	Game update found. Please restart.
1045099	Sending an error report can help us identify feedback issues faster.
If you are on a mobile network	 a small amount of data will be required.
Do you want to send a report?
1046001	Advanced Buff
1046002	Intermediate Buff
1046003	Basic Buff
1046004	Obtained Persona: 
1046005	Rankings are calculated every Sunday at 8 PM UTC	 and the top 100 will be recorded.
1046006	Your Rank: 
1046007	Network error. Please check your connection.
1046008	The network is unstable. Please check your connection.
1047001	To Palace Entrance
1047002	View Palace Info
1047003	Proceed
1047004	End Game
1047005	Return to game
1047006	Exploration Progress: 
1047007	Mementos
1048001	%s more points to unlock
1048002	%s more %s points to unlock
1048003	Clear the goal %s to unlock
1048004	Clear the theme %s to unlock
1049001	%s left
1049002	left this season
1049004	Pass Experience Credit
1049005	Weekly EXP Cap
1049006	Purchase to reach level %d and obtain the rewards below.
1049007	Purchase Tier
1049008	Purchase Pass
1049009	Special Pass
1049010	Phantom Pass Level Up
1049015	Immediately earn the following rewards
1049016	Immediately activate the following
1049017	Daily Pass
1049018	Weekly Pass
1049019	Season Pass
1049020	Daily Limited
1049021	Weekly Limited
1049022	Monthly Limited
1049023	Current Season
1049024	Can be claimed after completing a Daily Pass
1049025	Daily Pass can be claimed %s times each day
1049026	EXP Gained
1049027	You can get EXP rewards for Phantom Pass Daily Missions not completed within two days.
1049028	%s EXP gained
1049029	Set includes the exchangeable 5★ weapons below: 
1050001	Rating: %d
1050002	Final stage rewards will vary based on stage progress.
1050003	Rating: %d
1049030	Weapons Exchange
1050004	Progress: %d
1050005	%d Times
1050006	Reclear All (%dS)
1050007	Use to obtain %d stamina
1050008	This will spend %d Meta Jewels to restore %d stamina (purchased %d/%d times).
Stamina purchase count resets at 8 PM UTC daily.
1050009	If you quit	 your progress will be lost.
Exit anyway?
1050010	If you quit	 you will not receive any rewards. Stamina will not be used.
Exit anyway?
1050011	Challenge Clear Win Rate: %0.1f
1050012	Clear Score: %d
1050013	Progress: %d
1050014	Final Score: %d/%d
1050015	Clear to earn treasure chest rewards
1050016	If you quit	 you will not earn rewards.
Exit anyway?
1050017	All
1050018	Stay tuned for new challenges!
1050019	This area has not been discovered yet.
1050020	Stamina
1050021	Action Points
1050022	Purchased %d/%d times (Resets daily at 8 PM UTC)
1050023	5 points are restored at 8 PM UTC daily.
1050024	Unlocks at Lv. %d
1050025	Quick Clear Dungeon
1050026	Clear Time Left: %s s
1050027	Find the exhibition hall exit
1050028	Less than %s gimmicks activated
1050029	Clear with no KO'd allies
1050030	No more than %s KO'd allies
1050031	Reached limit for daily Wandering Shadow rewards.
1050032	No records.
1050033	Find the exit
1050034	Not Bought
1050035	Days left: %s
1050036	You were charged <color=#FFE900>%s</color> yen	 so <color=#FFE900>%s</color> Cognition Crystals were returned.
1050037	Cost: 
1050038	Quantity Obtained: 
1050039	About Refunds
1050040	About Charges
1050041	<sprite=0 tint=1> During the Persona5: The Phantom X trial period	 the total amount charged will be refunded after the game's official release according to the Charge Refund Rules.
1050042	About charge refund rules
1050043	Basic charge refund rules
1050044	<color=#EADE10></color>During the Phantom Thief trial period	 the total amount charged (including through Marthym's Rewards Card	 Premium Pass	 Premium Pass +	 and any direct Gift Pack purchases) will be returned at a rate of {1} {0} = 10 Cognition Crystals. The specific return range and rules are as follows:
<sprite=0 tint=1>If the amount charged is <color=#EADE10>{1}{0} - {1}{0} </color>: Cognition Crystals returned at a rate of <color=#EADE10>400%%</color>.
<sprite=0 tint=1>If the amount charged is <color=#EADE10>{1}{0} - {1}{0} </color>: Cognition Crystals returned at a rate of <color=#EADE10>300%%</color>.
<sprite=0 tint=1>If the amount charged is <color=#EADE10>{1}{0} - {1}{0} </color>: Cognition Crystals returned at a rate of <color=#EADE10>200%%</color>.
<sprite=0 tint=1>If the amount charged is <color=#EADE10>{1}{0} - {1}{0} </color>: Cognition Crystals returned at a rate of <color=#EADE10>150%%</color>.
<sprite=0 tint=1>If the amount charged is <color=#EADE10>{1}{0}</color> or more: Cognition Crystals returned at a rate of <color=#EADE10>130%%</color>.
1050045	Refund Example
1050046	Even if {1}{0} were charged in the Phantom Thief Trial	 a total of 92	625 Cognition Crystals will be returned after the release version starts. The return calculations are broken down as follows:
<sprite=0 tint=1>{1}{0} - {1}{0}  returned: (30×10 <color=#EADE10>400%%</color>) = 1200 Cognition Crystals.
<sprite=0 tint=1>{1}{0} - {1}{0} returned: (170×10 <color=#EADE10>300%%</color>) = 5100 Cognition Crystals.
<sprite=0 tint=1>{1}{0} - {1}{0} returned: (1800×10 <color=#EADE10>200%%</color>) = 3600 Cognition Crystals.
<sprite=0 tint=1>{1}{0} - {1}{0} returned: (3000×10<color=#EADE10>150%%</color>) = 4500 Cognition Crystals.
<sprite=0 tint=1>{1}{0} or more returned: (415×10 <color=#EADE10>130%%</color>) = 5395 Cognition Crystals.
Total: 1200 + 5100 + 3600 + 4500 + 5395 = 92	695 Cognition Crystals
1050047	Marthym's Rewards Card Return Rules
1050048	<sprite=0 tint=1>If a Marthym's Rewards Card was purchased during the Phantom Thief trial period	 Cognition Crystals will be returned after the official release according to [Rule 1] based on the amount charged for the Marthym's Rewards Card. Marthym's Rewards Cards will also be returned based on the amount of Marthym's Rewards Cards purchased.
<sprite=0 tint=1>Returns are limited to a maximum of <color=#EADE10>2</color> Marthym's Rewards Cards. If one Marthym's Rewards Card was purchased during the trial period	 one Marthym's Rewards Card will be returned after the official release	 and if two were purchased	 two will be returned. If more than two Marthym's Rewards Card were purchased	 only two will be returned; however	 the amount charged <color=#EADE10>will count</color> toward the Cognition Crystal returns for [Rule 1].
1050049	Refund Example
1050050	If four 30-yuan Marthym's Rewards Cards were purchased during the trial period	 the amount charged will be 120 yuan	 and Cognition Crystals will be returned after the game's release in accordance with [Rule 1]. The player will also receive two Marthym's Rewards Cards. (Cognition  Crystals received through Marthym's Rewards Card won't be counted toward returns for [Rule 1].)
1050051	Phantom Pass Refund Rules
1050052	For Phantom Passes purchased during the Phantom Thief trial period	 Cognition Crystals will be returned after the official release based on the amount charged for Phantom Passes in accordance with [Rule 1]. Based on the charges	 the player will also <color=#EADE10>receive the Phantom Pass items for free</color>.
1050053	Refund Example
1050054	<sprite=0 tint=1>During the trial period	 Player A purchased a {1}{0} Premium Pass. As this {1}{0} <color=#EADE10>will be regarded as the amount charged</color>	 Player A will have Cognition Crystals returned after release in accordance with [Rule 1]	 and receive a free Premium Pass.
<sprite=0 tint=1>During the trial period	 Player B used a {1}{0} Premium Pass and purchased a Premium Pass + for {1}{0}. As the amount charged equals <color=#EADE10>{1}{0}</color>	 Player B will have Cognition Crystals returned after release in accordance with [Rule 1] and <color=#EADE10>receive a free</color> Premium Pass +.

Above are details on the Phantom Thief Trial Return Rules.
1050055	Important Notes
1050056	AAAAAA==
1050057	<color=#FFE900>Cognition Crystals	 Marthym's Rewards Cards	 Phantom Passes	 and packs</color> purchased during the Phantom Thief trial period will be returned after the official release.
1050058	Marthym's Rewards Card
1050059	Phantom Pass
1050060	Bonus!
1051001	%s
That is my name.
1051002	Please enter your name.
1052001	24 Hours
1052002	Daytime
1052003	Dusk
1052004	Evening
1052005	Left: %s
1052006	No events
1053000	Exploration Progress: %s%%
1053001	Obtain at %s%% progress
1053501	Lv.
1053502	Obtain at Ticket Level %s
1053503	View Rewards
1053504	Can be obtained at Ticket Level %s
1053505	Max Ticket Level reached.
1054001	Hold to fast forward
1056002	Watch Rewards
1056003	Spend %s to unlock
1056004	Track mission
1056005	Wait until the appropriate time
1056006	Reach level %s
1056008	Wait until it's %s
1056009	Wait until it's %s and %s
1056010	Wait until it's %s	 %s	 and %s
1056011	 %s d %s h
1056012	 %s h
1056013	Less than 1h
1057001	Actions Left: %s/%s
1057002	Obtain %s
1057004	Ability unlocks at Lv. %d
1057005	%s was changed to %s
1057006	???
1057007	Logging in
1057008	You don't have enough %s
1057009	<color=#e6b625>Conditions</color> have not been met.
1057010	Move the tarot card here
1057011	Select one tarot card
1057012	First
1057013	<color=#FFC000>(Attempts Left: %s)</color>
1057014	<color=#FFFF00>Stay tuned</color>
1057015	Multiplier: <color=#FFFF00>3x</color>
1057016	Multiplier: <color=#FFFF00>1x</color>
1058001	Logging in
1058002	Logging in.
1058003	Logging in..
1058004	Logging in...
1058005	Logging in......
1058006	The servers are busy. Please wait a moment.
Current queue position: <color=#FF423F>%s</color>. Thank you for your patience.
Please stay on this screen while you wait.
1058007	Account
1058008	Log Out
1058009	<link="htp|https://beian.miit.gov.cn/"><u>Beijing ICP No. 2021015964-3A</u></link>
1058010	The servers are busy.
Number of people in queue: <color=#FF0000>%s+</color>.
Thank you for your patience. Please stay in the app while you wait.
1058011	Exit without waiting
1059003	Battle %s
1059004	%s (When used.)
1060001	No plants.
1060005	Enter new channel: %s
1060099	© Perfect World Adapted from Persona 5 © ATLUS. © SEGA.
Special Thanks: Fontworks Inc. and SHOWASHOTAI Co.	 Ltd.
Client Version: %s Game Version: %s Resource No.: %s
1061000	© Perfect World Adapted from Persona 5 © ATLUS. © SEGA.
Special Thanks: Fontworks Inc. and SHOWASHOTAI Co.	 Ltd.
Client Version: %s Game Version: %s Resource No.: %s
1061001	You will be downloading <color=#FF423F>%s</color> of data for the update. Do you want to begin?
1061002	You will be downloading <color=#FF423F>%s</color>%s of data for the update. <color=#FF423F>You are not currently connected to Wi-Fi.</color> Do you want to begin?
1061003	Downloading %s
(%s/%s)
1061004	Update complete. Tap the screen to begin!
1061005	About Age Restrictions in Persona5: The Phantom X
1061006	AAAAAA==
1061007	Allow automatic download in background
1061008	Verify files? This may take a few minutes.
1061009	Verifying...
1061010	Return to game
1061011	File verification complete.
1061012	Files are incomplete. Do you want to download missing files?
1061013	Download
1061014	File error. You must redownload all files and restart the game. Do you want to restart now?
1061015	Restart
1061016	Would you like to download the game in the background? Select "Yes" to download while playing and "No" to download %s of required data now to play after.
1061017	It seems you are not connected to Wi-Fi. Do you want to download it anyway?
1062001	%s Preset: %s/%s
1062002	Default Outfit
1062003	Casual Clothes
1062004	Uniform
1062005	Loungewear
1063001	Set Assist Phantom Thief
1063002	No Assist Thieves assigned.
1063003	You can earn up to <color=#FF423F>%s</color> <link="s|1002"><u>Friend Points</u></link> per day.
1070001	 %s d %s h %s min
1070002	 %s h %s min %s s
1070003	 %s min %s s
1070004	To Rank Up: 
1070005	To Maintain Rank: 
1070006	This season's challenge has ended.
1070007	Total %s areas cleared (%s/%s)
1070008	Total %s boss stages cleared	 difficulty (%s/%s)
1070009	Total ★ Obtained (%s/%s)
1070010	Challenge difficulty: 
1070011	Would you like to continue from your saved progress?
1070012	Until start: 
1070013	Left: 
1070015	Coming soon
1070016	Rank:
1070017	Total Score: 
1070018	<color=#FFFFFF>(Currently %s%%)</color>
1070019	(%s%% left)
1070020	Score: %s
1070021	N/A
1070022	<color=#FFF000>Rank Up Next Season</color>
1070023	<color=#FF423F>Rank Down Next Season</color>
1070024	<color=#FFFFFF>Same Rank Next Season</color>
1070025	Current Score: 
1070026	Current Score: %s
1070027	Trial Rules: Survive the boss's <color=#FF423F>%s</color> attacks to win.
The more damage you deal	 the more points you'll get!
1070028	Extra selections (%s/%s)
1070029	Successful defenses: 
1070030	Participate once to earn rank rewards
1070031	Rank Rewards
1070032	Total Score (%s/%s)
1070033	<color=#FFFFFF>Total Score: </color><color=#FFD145>%s</color>
1070034	<color=#FFFFFF>Boss Attacks Left: </color><color=#FFD145>%s</color>
1070035	Mission Target
1070036	Rank Division
1070037	Rank Info
1070038	Trials from the Sea of Souls rewards are reset each season.
1070039	Take on a trial at least once to earn rewards. Rewards will be sent to Mail after the season ends.
1070040	You can get rewards the first time you rank up.
1070041	Receive supplies
1070042	Defeat Lesser Shadows (%s/%s)
1070043	Take the elevator
1070044	Do you want to end the current challenge?
1070045	ContiNuE
1070046	Cancel
1070047	Do you want to save your progress and quit?
1070048	Select Clear Progress to reset the stage and attempt the trial from the start.
1070049	Trials from the Sea of Souls
1070050	{1}%% before {0}
1070051	Trials from the Sea of Souls
1070052	Current Rank: 
1070053	Total Rarity: 
1070054	Area Reached: 
1070055	Current Season Score: 
1070056	Current Season Ranking: 
1070057	Current %s%%
1070058	%s%% left
1070059	Defeat Unique Shadows (%s/%s)
1070060	%s %s%% left
1070061	Defeat Boss (%s/%s)
1070082	Earn points by damaging enemies with a boss icon.
1070062	Last Season Records
1070063	Ranking
1070064	Score
1070065	Total Rarity
1070066	Area Reached
1070067	Rank Rewards
1070069	%s%% or lower
1070070	Ranking: 
1070071	Ranking Rewards
1070072	Total Score
1070073	Only the currently top 2000 ranked Phantom Thieves are displayed.
1070074	Ranking Info
1070075	No ranking information available.
1070076	Not Attempted
1070079	No rank rewards
1070080	Your Rank: 
1070081	<color=#FFFFFF>(Currently <color=#FFD145>#%s</color>)</color>
1071001	Total ★ Obtained (%s/%s)
1071002	Total Meta Jewels Earned
1071003	Traits
1071004	Rewards
1071005	Unlocks after clearing a certain stage
1071006	Unlocks when Wonder reaches level %s
1071007	Obtained
1071008	Points
1072001	Unlocks at Lv. %s
1072002	Challenge difficulty: %s
1072003	Not Registered
1072004	Seals held: %s
1072005	Press and hold to view Persona details.
1072006	Rewards: <color=#0F69CA>%s/%s</color>
1072007	ADVANCED SKILL MATERIALS
1072008	Recollections
1073001	Unlocks in %s
1073002	Unlocked by clearing the required stage.
1073005	Summary: 
1073006	Goal: %s
1075001	You won't be able to change these <color=#FF423F>Thieves</color> and <color=#FF423F>Personas</color>. Proceed?
1075002	This <color=#FF423F>Phantom Thief</color> or <color=#FF423F>Persona</color> is locked. Please choose a different one.
1075003	Pts: 
1075004	N/A
1075005	Lock Party
1075006	Until event ends
1075007	 %s d %s h %s min
1075008	 %s h %s min %s s
1075009	 %s min %s s
1075010	View Nightmare's Gateway Battle Records
1075011	Total Pts This Season
1075012	Current Points
1075013	Ranking
1075014	Participants
1075015	Can be unlocked when total points reach <color=#eade10>%s</color>
1075016	Total Boss Points: 
1075017	Companio Points: 
1075018	Total Player Points: 
1075019	As your Companio's participation increases	 you can earn rewards! Current: <color=#eade10>%s</color>
1075020	+1 when a Companio member participates for the first time
1075021	Collect player points to obtain rewards! Current total: <color=#eade10>%s</color>
1075022	About Points
Companio Points are calculated as follows:
Challenge Points × difficulty bonus
In cases where multiple difficulty levels for the same boss have been attempted	 the highest score is used.
1075023	Accumulated points from the season can be used to earn rewards and participate in rankings.
Total points will not be lost if you reset the challenge.
1075024	%s: %d points
1075025	Weakened Turns Left: %s
1075026	Base Damage Points
1075027	Weakened Damage Points
1075028	Difficulty Bonus
1075029	Total Pts.
1075030	Quit
1075031	Restart Challenge
1075032	Raise Difficulty
1075033	All rewards for this week have been claimed.
1075034	You won't be able to change these <color=#FF423F>Thieves	 Personas	 and Revelations</color>. Proceed?
1075035	Companio Rank
1075036	Player Rank
1075037	Total Pts.
1075038	Player Pts.
1075039	Ranking Rewards
1075040	Leader
1075041	Lv. 
1075042	Companio Members
1075043	Companio Contribution
1075044	Current Companio
1075045	Limited
1075046	Companio Level
1075047	Diff. Bonus: <color=#0F69CA>%s</color>
1075048	N/A
1075049	The <color=#FF423F>Revelation Card</color> is locked in a different stage. Please choose a different Revelation Card.
1075050	Left: %s/%s
1075051	Initial Party
1075052	Boss Attack Points
1075053	Weakened Bonus Points x
1075054	Times
1075055	Stage
1075056	Leader Lv.
1075057	Companio Info
1075058	No Companio
1075059	After joining a Companion	 you can claim participation rewards.
1075060	Ranking Rewards
1076003	Locked
1075061	Join a Companio to get ranking rewards.
1075062	Not Joined
1075063	Calculating results...
1075064	When points are totaled	 the <color=#FF423F>highest scores against this season's %s bosses</color> will be recorded.
1075065	Attack Turns Left: 
1075066	Survival Bonus Points ×
1080001	Please enter serial code.
1080002	Enabled
1080003	Activation Failed (Error Code: %d)
1081001	Star
1075067	Foe Defense Points
1075068	Turns Survived
1075069	Turns Survived Bonus Points
1075070	Nightmare's Gateway shifts its dreamscape every season	 and the rules change accordingly.
1081002	Space
1081003	2-piece set: 
1081004	4-piece set: 
1081005	There are multiple set effects for the Space Revelation effect	 which is determined by the effects of the Heavens 4-piece set that is currently active. You can determine the effect of the required 4-piece set from the name of the Space set effect.
1081019	Have: {0}
1081020	Please choose.
1081007	Rarity
1081010	Up to 2 main attributes can be selected. They will be activated at the same time.
1081011	Up to 4 sub-attributes can be selected. They will be activated at the same time.
1081012	The requested set could not be found.
1081013	The requested main attribute could not be found.
1081014	The requested sub-attribute could not be found.
1081015	[%s]
1081016	%s & %s
1081017	Recommended Revelations {0}
1081018	Select on of the following Space Revelation Cards
1081024	You can select up to two.
1081025	You can select up to four.
1081021	You can obtain {1} Revelation Cards exclusive to this event.
1081022	Only unlocked sub-attributes will be updated during the update.
1081023	Random main attributes for {0}-marked cards include the following: {1}
1081026	For every <color=#FFDE00>{0}</color> <color=#FFDE00>{1}</color>-marked orange-rarity Revelation Cards used	 you can inscribe a one-card set of a random <color=#FFDE00>{2}</color> Revelation Card.
1081027	Space
1081028	Heavens
1081029	Current Inscriptions: {0}/{1}
1081030	Revelations Used: {0}
1081031	Do you want to use <color=#FFDE00>{0}</color> Revelation Cards to inscribe a <color=#FFDE00>{1}</color>-card set of <color=#FFDE00>{2}</color> Revelation Cards?
1081032	Obtain {0} new Revelations
1081033	Preset Plan {0}
1081998	For every <color=#FFDE00>{0}</color> <color=#FFDE00>{1}</color>-marked orange-rarity Revelation Cards used	 you can inscribe one random <color=#FFDE00>{2}</color>-marked Revelation Card.
1081999	Do you want to use <color=#FFDE00>{0}</color> Revelation Cards to inscribe<color=#FFDE00>{1}</color> random <color=#FFDE00>{2}</color>-marked Revelation Cards?
1082001	Main Story
1082002	Side Story
1082003	Synergy
1082004	Story Animation: %s
1082005	Coming Soon
1082006	Event
1082999	Difficulty: %s
1083000	Chapter %s
1083001	Difficulty %s Chapter %s
1083002	Unlock with %s
1083003	Progress: 
1083004	Scoring Efficiency: 
1083005	Thief Filter
1083006	Clear
1083007	Cannot reach destination.
1083008	Battle Failed
1083009	You lost... Would you like to edit your party and try again?
Quit: The challenge will end at your current progress.
1083010	%s Set
1083011	%s times left
1083012	Unselected or reset buffs will have a permanently lowered chance of appearing during this challenge.
1083013	Charms Held: (%s/%s)
1083014	Gain more buffs while exploring
1083015	Charm Set: <color=#edae10>%s</color>
1083016	Buy Charm
1083017	Buy Lost Property
1083018	%s times left
1083019	Paused
1083020	Do you want to save your progress and quit?
1083021	???
1083022	You haven't obtained this yet	 so its effects are unknown.
1083023	No info available
1083024	Collected Lost Items: <color=#edae10>%s/%s</color>
1083025	The set effect is not active.
1083026	The event has not started.
1083027	View collected buffs
1083028	Tap to view Lost Items
1083029	You haven't obtained this yet	 so its effects are unknown.
1083030	Leave the station
1083031	Increase Limit
1083032	Purchased
1083033	Uses Left: %s
1083034	Infiltration Difficulty: %s
1083035	Not cleared
1083036	Unlock at Difficulty %s
1083037	Cleared Party
1083038	Exploration Progress: %s
1083039	Lost Property Obtained: %d
1083040	Buffs Obtained: %d
1083041	Score
1083042	EXP Gained
1083043	Skill Points
1083044	Select a Lost Item.
1083045	Select a Charm.
1083046	Charm Filter
1083047	Infiltration Difficulty: 
1083048	Difficulty: %s
1083049	Adjustment Index: 
1083050	Current Challenge: 
1083051	Difficulty: %s
1083052	New Lost Item Unlocked
1083053	New Event Unlocked
1083054	This can be obtained from: %s
1083056	Set collected: <color=#edae10>%s/%s</color>
1083057	Free this time only
1083078	Select an item of Lost Property to discard.
1083079	You have no Lost Property to discard.
1083058	Free %s times
1083059	First purchase free
1083082	[%s]
1083083	Use [%s]
1083084	Discarded [%s]
1083060	Forged Effects: 
1083061	You can forge a set number of times.
1083062	Unlocks at route goal %s
1083080	Progress: 
1083063	After %s	 the progress cap will be %s.
1083064	After reaching difficulty %s	 the progress cap will be %s.
1083065	Not Obtained
1083081	All Routes
1083066	Challenge Party: 
1083067	Progress: 
1083068	Charms collected: <color=#edae10>%s/%s</color>
1083069	%s Progress: 
1083070	Terminal Station
1083071	Battle Difficulty
1083072	Selectable Charms
1083073	Difficulty %s Unlocked
1083074	Forged: 
1084028	Unlocked at Synergy Rank %s with Ayaka Sakai.
1083075	Reward: 
1083076	Clear: 
1083077	You can obtain a %s Charm.
1083085	Left: 
1083086	<color=#FF423F>Fast</color> Mode
1084001	Unlocks at Band Club Level %d.
1084002	N/A
1084003	Duration: %s
1084004	Accuracy
1084010	Band Club
1084013	Challenge Rewards
1084014	EaSY
1084015	HaRD
1084016	Pro
1084017	MasTer
1084018	Difficulty: 
1084020	Score: 
1084021	Press a key in time to the music to calibrate.
1084022	Adjustments
1084023	Adjust the benchmark value to match the beat accurately.
1084024	If there is a significant amount of lag	 the accuracy may be affected. Try lowering graphics settings.
1084025	Benchmark Value
1084026	Lower Speed
1084101	Score: 
1084102	Soccer Points: 
1085001	Go
1086001	Resume
1086002	Cancel
1086003	Pause
1086004	Download
1086005	Auto-download when Wi-Fi is available <color=#FF423F>(Recommended)</color>
1086006	Auto-download in background
1084029	Correct Miss to Perfect
1086007	Pause All
1086008	Download All
1086009	Claim
1086010	Download
Rewards
1086011	Claimed
1086012	Starting download...
1086013	Downloading...
1086014	Download Size: %s
1086015	You have played more than %d hours. Why not take a break?
