sn	conditionDes
550031	Attain 7★ Class 1 when the Trials from the Sea of Souls ends.
550032	Attain 7★ Class 2 when the Trials from the Sea of Souls ends.
550033	Attain 7★ Class 3 when the Trials from the Sea of Souls ends.
550034	Awarded for holding 7★ Class 4 when the Trials from the Sea of Souls ends.
550035	Attain 7★ Class 5 when the Trials from the Sea of Souls ends.
550036	Attain 8★ Class 1 when the Trials from the Sea of Souls ends.
550037	Attain 8★ Class 2 when the Trials from the Sea of Souls ends.
550038	Attain 8★ Class 3 when the Trials from the Sea of Souls ends.
550039	Attain 8★ Class 4 when the Trials from the Sea of Souls ends.
550040	Attain 8★ Class 5 when the Trials from the Sea of Souls ends.
